date,average price,price2
2021-01-04 00:00:00+05:30,77.75686666666667,77.7552
2021-01-11 00:00:00+05:30,82.23186666666666,82.23181333333333
2021-01-18 00:00:00+05:30,85.33506666666666,85.33781333333333
2021-01-25 00:00:00+05:30,82.56925333333334,82.56253333333333
2021-02-01 00:00:00+05:30,76.73259999999999,76.7378
2021-02-08 00:00:00+05:30,86.38856,86.38866666666667
2021-02-15 00:00:00+05:30,87.75469333333332,87.75144
2021-02-22 00:00:00+05:30,90.86773333333333,90.86784
2021-03-01 00:00:00+05:30,94.70539443155452,94.7078306264501
2021-03-08 00:00:00+05:30,105.93677333333333,105.94072
2021-03-15 00:00:00+05:30,109.3309,109.33103333333332
2021-03-22 00:00:00+05:30,105.19261333333333,105.19224000000001
2021-03-29 00:00:00+05:30,102.44096666666667,102.44013333333334
2021-04-05 00:00:00+05:30,103.8145,103.81406666666668
2021-04-12 00:00:00+05:30,102.76010666666667,102.756
2021-04-19 00:00:00+05:30,94.76306666666667,94.76913333333334
2021-04-26 00:00:00+05:30,95.1593,95.15969999999999
2021-05-03 00:00:00+05:30,98.50584,98.50528
2021-05-10 00:00:00+05:30,103.03666666666666,103.04309333333333
2021-05-17 00:00:00+05:30,105.45203333333333,105.44956666666667
2021-05-24 00:00:00+05:30,105.23056,105.23032
2021-05-31 00:00:00+05:30,106.56053333333334,106.56034666666666
2021-06-07 00:00:00+05:30,108.34295999999999,108.34514666666666
2021-06-14 00:00:00+05:30,123.47666666666667,123.47722666666667
2021-06-21 00:00:00+05:30,122.42728,122.43133333333333
2021-06-28 00:00:00+05:30,121.73061333333332,121.72898666666667
2021-07-05 00:00:00+05:30,122.89824,122.90050666666667
2021-07-12 00:00:00+05:30,124.21050666666667,124.21408
2021-07-19 00:00:00+05:30,124.90096,124.90021333333333
2021-07-26 00:00:00+05:30,123.19537591483699,123.18888888888888
2021-08-02 00:00:00+05:30,123.89917333333334,123.90314666666666
2021-08-09 00:00:00+05:30,133.54424444444444,133.54257777777778
2021-08-16 00:00:00+05:30,131.60754666666665,131.60882666666666
2021-08-23 00:00:00+05:30,130.803,130.80180000000001
